name,selling_price,km_driven,fuel,seller_type,transmission,owner,car_age
Maruti Ertiga VXI,500000,25000,Petrol,Individual,Manual,First Owner,11
Toyota Innova 2.5 G4 Diesel 8-seater,250000,80000,Diesel,Individual,Manual,Second Owner,18
Maruti Alto 800 VXI,150000,50000,Petrol,Individual,Manual,First Owner,8
Mahindra Scorpio 1.99 S10,610000,15000,Diesel,Individual,Manual,Second Owner,9
Mahindra KUV 100 G80 K2,450000,5000,Petrol,Individual,Manual,First Owner,7
Hyundai i20 1.4 Asta Option,744000,106000,Diesel,Individual,Manual,First Owner,8
Chevrolet Spark 1.0,120000,100000,Petrol,Individual,Manual,Third Owner,17
Renault KWID RXL,220000,60000,Petrol,Individual,Manual,Third Owner,9
Maruti Ertiga ZDI,480000,120000,Diesel,Individual,Manual,Fourth & Above Owner,13
Maruti Celerio ZXI Optional AMT BSIV,370000,82000,Petrol,Individual,Automatic,First Owner,8
Fiat Palio D 1.9 EL PS,55000,35000,Diesel,Individual,Manual,Second Owner,22
Hyundai EON Magna Plus,125000,205000,Petrol,Individual,Manual,First Owner,12
Hyundai Verna 1.6 CRDI,260000,125000,Diesel,Individual,Manual,Third Owner,14
Fiat Linea Classic 1.3 Multijet,350000,130000,Diesel,Individual,Manual,First Owner,10
Maruti Alto 800 CNG LXI,170000,97000,CNG,Individual,Manual,Second Owner,13
Hyundai Grand i10 Sportz,350000,90000,Petrol,Individual,Manual,Second Owner,10
Maruti Swift Dzire VXi,250000,60000,Petrol,Individual,Manual,Third Owner,16
Tata Indigo CR4,170000,60000,Diesel,Individual,Manual,First Owner,12
Mahindra Scorpio S11 BSIV,1300000,35000,Diesel,Individual,Manual,First Owner,7
Hyundai Grand i10 1.2 Kappa Sportz BSIV,550000,25000,Petrol,Individual,Manual,First Owner,6
Honda Brio 1.2 S MT,400000,15000,Petrol,Individual,Manual,First Owner,8
Tata Nano Lx,120000,20000,Petrol,Individual,Manual,First Owner,14
Ford Figo Petrol Titanium,275000,70000,Petrol,Individual,Manual,First Owner,15
Tata Zest Revotron 1.2T XE,285000,90000,Petrol,Individual,Manual,First Owner,9
Hyundai Creta 1.4 CRDi Base,900000,80000,Diesel,Individual,Manual,First Owner,9
Mercedes-Benz M-Class ML 350 CDI,2500000,79500,Diesel,Individual,Automatic,Second Owner,11
Hyundai Verna 1.6 SX CRDi (O),620000,70000,Diesel,Individual,Manual,Second Owner,12
Toyota Innova Crysta 2.4 GX MT 8S BSIV,1700000,5000,Diesel,Individual,Manual,First Owner,7
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,650000,15000,Petrol,Individual,Manual,First Owner,7
Maruti Ertiga VXI,500000,35000,Petrol,Individual,Manual,First Owner,11
Tata New Safari DICOR 2.2 EX 4x4,250000,120000,Diesel,Individual,Manual,Second Owner,16
Mahindra Marazzo M4,950000,15000,Diesel,Individual,Manual,Second Owner,7
Toyota Etios Cross 1.2L G,320000,60000,Petrol,Individual,Manual,First Owner,10
Renault Duster 110PS Diesel RxZ,450000,120000,Diesel,Individual,Manual,First Owner,12
Mahindra KUV 100 mFALCON D75 K8 AW,350000,90000,Diesel,Individual,Manual,First Owner,9
Maruti Swift Dzire VXI,400000,90000,Petrol,Individual,Manual,First Owner,10
Hyundai i20 Asta 1.4 CRDi (Diesel),250000,72000,Diesel,Individual,Manual,Second Owner,16
Toyota Innova 2.0 GX 8 STR BSIV,550000,197000,Petrol,Individual,Manual,Second Owner,14
Maruti Zen LXI,85000,70000,Petrol,Individual,Manual,Second Owner,26
Hyundai Santro LP zipPlus,52000,50000,Petrol,Individual,Manual,Third Owner,24
Tata Hexa XTA,1200000,50000,Diesel,Individual,Automatic,First Owner,8
Hyundai Verna 1.6 SX VTVT AT,450000,60000,Petrol,Individual,Automatic,Third Owner,14
Maruti Swift Dzire VXI 1.2 BS IV,615000,40000,Petrol,Individual,Manual,First Owner,7
Maruti SX4 ZDI Leather,400000,60000,Diesel,Individual,Manual,Second Owner,13
Tata Nano LX,60000,40000,Petrol,Individual,Manual,First Owner,12
Maruti Ignis 1.2 Alpha BSIV,500000,9161,Petrol,Individual,Manual,First Owner,8
Honda Mobilio V i VTEC,600000,45000,Petrol,Individual,Manual,First Owner,10
Hyundai Getz 1.3 GVS,110000,110000,Petrol,Individual,Manual,First Owner,15
Hyundai Santro Xing GL Plus,175000,80000,Petrol,Individual,Manual,First Owner,12
Ford Fiesta Titanium 1.5 TDCi,325000,100000,Diesel,Individual,Manual,Second Owner,14
Maruti Swift Dzire LDI,425000,90000,Diesel,Individual,Manual,First Owner,8
Hyundai Accent GLE CNG,160000,70000,CNG,Individual,Manual,Third Owner,16
Maruti Zen Estilo LXI BSIII,100000,80000,Petrol,Individual,Manual,Third Owner,18
Maruti Swift Dzire LDI,390000,110000,Diesel,Individual,Manual,Second Owner,11
Hyundai i20 1.2 Spotz,400000,50000,Petrol,Individual,Manual,First Owner,8
Tata Tigor 1.2 Revotron XM,509999,5000,Petrol,Individual,Manual,First Owner,7
Hyundai i10 Magna 1.1,150000,90000,Petrol,Individual,Manual,Third Owner,17
Hyundai Santro Xing GLS,110000,120000,Petrol,Individual,Manual,First Owner,16
Nissan Sunny Diesel XV,450000,80000,Diesel,Individual,Manual,First Owner,12
Hyundai i20 1.2 Spotz,400000,38000,Petrol,Individual,Manual,Second Owner,8
Hyundai Santro Xing GLS,140000,120000,Petrol,Individual,Manual,First Owner,16
Tata Indigo CR4,130000,90000,Diesel,Individual,Manual,First Owner,14
Maruti Alto 800 LXI,160000,50000,Petrol,Individual,Manual,First Owner,8
Maruti Alto 800 LXI,150000,60000,Petrol,Individual,Manual,First Owner,9
Mahindra XUV500 W8 2WD,500000,100000,Diesel,Individual,Manual,Second Owner,12
Tata Nano Std,40000,19000,Petrol,Individual,Manual,First Owner,14
Chevrolet Tavera LT L1 7 Seats BSIII,140000,200000,Diesel,Individual,Manual,Third Owner,19
Mahindra Verito 1.5 D2 BSIV,227000,70000,Diesel,Individual,Manual,Second Owner,10
Maruti Swift VDI,285000,50000,Diesel,Individual,Manual,Second Owner,14
Maruti Alto LX,155000,19077,Petrol,Individual,Manual,Second Owner,13
Hyundai EON D Lite,210000,30000,Petrol,Individual,Manual,First Owner,9
Maruti Alto LXi,140000,80000,Petrol,Individual,Manual,Second Owner,16
Toyota Innova 2.5 GX (Diesel) 7 Seater,940000,128000,Diesel,Individual,Manual,First Owner,10
Nissan Terrano XV Premium 110 PS,750000,80000,Diesel,Individual,Manual,First Owner,12
Maruti Baleno Alpha 1.3,610000,100000,Diesel,Individual,Manual,First Owner,9
Nissan Sunny XV D Premium Leather,450000,50000,Diesel,Individual,Manual,First Owner,10
Toyota Etios Liva GD,409999,56000,Diesel,Individual,Manual,First Owner,13
Hyundai EON 1.0 Era Plus,100000,21302,Petrol,Individual,Manual,First Owner,7
Renault KWID 1.0 RXT Optional,300000,10500,Petrol,Individual,Manual,First Owner,7
Mahindra Bolero 2011-2019 SLX,400000,107000,Diesel,Individual,Manual,First Owner,12
Hyundai i10 Sportz 1.2,210000,60000,Petrol,Individual,Manual,Second Owner,15
Hyundai Santro Xing XG eRLX Euro III,90000,120000,Petrol,Individual,Manual,Second Owner,19
Maruti Wagon R LXI BS IV,222000,70000,Petrol,Individual,Manual,First Owner,15
Maruti Alto 800 LXI,240000,50000,Petrol,Individual,Manual,Second Owner,10
Toyota Etios Liva GD,450000,70000,Diesel,Individual,Manual,Second Owner,12
Volkswagen Jetta 2.0L TDI Highline AT,735000,55300,Diesel,Dealer,Automatic,First Owner,13
Tata Indica Vista Quadrajet 90 VX,285000,74300,Diesel,Dealer,Manual,First Owner,13
Honda City VX MT,350000,48781,Petrol,Dealer,Manual,First Owner,15
Volkswagen Jetta 1.9 Highline TDI,290000,87620,Diesel,Dealer,Automatic,First Owner,15
Volkswagen Vento 1.5 TDI Highline Plus AT,890000,40219,Diesel,Dealer,Automatic,First Owner,8
Honda Jazz VX,385000,11473,Petrol,Dealer,Manual,First Owner,14
Maruti Eeco 5 Seater AC BSIV,425000,8352,Petrol,Dealer,Manual,First Owner,8
Maruti Wagon R VXI AMT1.2BSIV,525000,9745,Petrol,Dealer,Automatic,First Owner,8
Hyundai Grand i10 Asta,550000,9748,Petrol,Dealer,Manual,First Owner,8
Volkswagen Polo 1.0 MPI Trendline,271000,49000,Petrol,Dealer,Manual,First Owner,13
Hyundai Creta 1.6 CRDi SX Option,1490000,20694,Diesel,Dealer,Manual,First Owner,7
Hyundai Grand i10 Asta Option,490000,31080,Petrol,Dealer,Manual,First Owner,10
Hyundai EON Era Plus,260000,37605,Petrol,Dealer,Manual,First Owner,11
Hyundai Xcent 1.1 CRDi SX Option,455000,55850,Diesel,Dealer,Manual,First Owner,11
Tata Nano Lx BSIV,75000,58850,Petrol,Dealer,Manual,First Owner,15
Toyota Etios Cross 1.2L G,421000,23839,Petrol,Dealer,Manual,First Owner,10
Maruti Swift DDiS LDI,550000,54000,Diesel,Dealer,Manual,First Owner,9
Hyundai i10 Sportz 1.2 AT,330000,38000,Petrol,Dealer,Automatic,First Owner,12
Volkswagen Vento 1.5 TDI Comfortline,390000,45454,Diesel,Dealer,Manual,First Owner,13
Skoda Rapid 1.5 TDI AT Ambition,599000,46957,Diesel,Dealer,Automatic,First Owner,10
Hyundai Getz GLE,110000,60000,Petrol,Individual,Manual,Fourth & Above Owner,18
Renault KWID RXT Optional,250000,25000,Petrol,Individual,Manual,First Owner,9
Mahindra Scorpio M2DI,600000,110000,Diesel,Individual,Manual,Fourth & Above Owner,13
Ford Endeavour XLT TDCi 4X2,280000,190000,Diesel,Individual,Manual,Second Owner,17
Audi Q3 35 TDI Quattro Technology,2700000,25000,Diesel,Individual,Automatic,First Owner,7
Mahindra Renault Logan 1.4 GLX Petrol,80000,90000,Petrol,Individual,Manual,First Owner,17
Maruti Alto K10 VXI,350000,5000,Petrol,Individual,Manual,First Owner,6
Maruti Swift VDI BSIV,475000,60000,Diesel,Individual,Manual,First Owner,10
Audi A5 Sportback,4700000,1500,Diesel,Individual,Automatic,First Owner,5
Maruti Swift Dzire VDI,500000,50000,Diesel,Individual,Manual,First Owner,7
Chevrolet Sail Hatchback 1.3 TCDi LT ABS,250000,120000,Diesel,Individual,Manual,First Owner,11
Hyundai Accent CRDi,100000,120000,Diesel,Individual,Manual,Second Owner,20
Maruti Alto K10 VXI Airbag,350000,5000,Petrol,Individual,Manual,First Owner,6
BMW 7 Series Signature 730Ld,4000000,47000,Diesel,Individual,Automatic,First Owner,11
Toyota Camry 2.5 Hybrid,1900000,20000,Petrol,Individual,Automatic,First Owner,8
Hyundai Santro Xing XG,95000,120000,Petrol,Individual,Manual,Second Owner,20
Hyundai Grand i10 CRDi Sportz,409999,58000,Diesel,Individual,Manual,First Owner,10
Mahindra XUV500 W5 BSIV,1050000,35000,Diesel,Individual,Manual,First Owner,7
Maruti Alto K10 VXI,320000,30000,Petrol,Individual,Manual,First Owner,8
Mahindra XUV300 W8 Option Diesel BSIV,1000000,10000,Diesel,Individual,Manual,First Owner,6
Toyota Innova Crysta 2.4 VX MT BSIV,1770000,25000,Diesel,Individual,Manual,First Owner,8
Mahindra Thar CRDe,950000,20000,Diesel,Individual,Manual,First Owner,7
Maruti Swift Dzire ZDI,750000,50000,Diesel,Individual,Manual,First Owner,7
Hyundai EON Magna Plus,220000,42000,Petrol,Individual,Manual,First Owner,11
Tata Hexa XM,1000000,50000,Diesel,Individual,Manual,First Owner,8
Honda Mobilio E i DTEC,660000,116000,Diesel,Individual,Manual,First Owner,8
Maruti Ertiga ZDI,716000,100000,Diesel,Individual,Manual,First Owner,10
Maruti Ciaz ZXi Plus,675000,66000,Petrol,Individual,Manual,First Owner,10
Mahindra Scorpio LX,385000,110000,Diesel,Individual,Manual,Third Owner,15
Fiat Grande Punto EVO 1.3 Dynamic,325000,70000,Diesel,Individual,Manual,First Owner,11
Hyundai Creta 1.6 CRDi SX Option,950000,60000,Diesel,Individual,Manual,First Owner,10
Ford Endeavour Hurricane Limited Edition,400000,110000,Diesel,Individual,Automatic,Fourth & Above Owner,18
Tata Indica Vista TDI LS,250000,25000,Diesel,Individual,Manual,First Owner,11
Land Rover Discovery S 2.0 SD4,4000000,68000,Petrol,Individual,Automatic,First Owner,7
Maruti Alto 800 LXI,210000,20000,Petrol,Individual,Manual,First Owner,11
Hyundai i10 Era 1.1 iTech SE,147000,110000,Petrol,Individual,Manual,Second Owner,14
Maruti Vitara Brezza VDi Option,725000,26350,Diesel,Individual,Manual,First Owner,7
Mahindra Scorpio SLE BSIV,550000,90000,Diesel,Individual,Manual,First Owner,13
Hyundai i20 Sportz Option 1.2,475000,25000,Petrol,Individual,Manual,First Owner,9
Hyundai Santro Xing GLS,250000,50000,Petrol,Individual,Manual,Second Owner,11
Tata Indica LSI,70000,60000,Petrol,Individual,Manual,Second Owner,19
Hyundai EON Era Plus,160000,70000,Petrol,Individual,Manual,Third Owner,13
Ford Endeavour 3.0L 4X4 AT,1000000,90000,Diesel,Individual,Automatic,Second Owner,14
Hyundai Santro LE zipPlus,68000,70000,Petrol,Individual,Manual,First Owner,24
Hyundai Grand i10 1.2 Kappa Asta,500000,26500,Petrol,Individual,Manual,First Owner,8
Hyundai Creta 1.4 EX Diesel,1050000,10000,Diesel,Individual,Manual,First Owner,5
Hyundai Verna CRDi 1.6 SX,900000,50000,Diesel,Individual,Manual,First Owner,8
Maruti Alto LX,100000,52000,Petrol,Individual,Manual,Second Owner,18
Hyundai i20 Asta 1.4 CRDi,300000,90000,Diesel,Individual,Manual,First Owner,12
Tata Indigo LX,140000,60000,Diesel,Individual,Manual,Second Owner,14
Ford Figo Aspire 1.2 Ti-VCT Trend,550000,35000,Petrol,Individual,Manual,First Owner,7
Mahindra XUV500 W8 4WD,650000,71042,Diesel,Dealer,Manual,First Owner,13
Mitsubishi Pajero Sport 4X4,1025000,167870,Diesel,Dealer,Manual,Second Owner,13
Ford Fiesta 1.5 TDCi Titanium,195000,133564,Diesel,Dealer,Manual,First Owner,14
BMW 3 Series 320d Sport,1490000,40000,Diesel,Dealer,Automatic,First Owner,12
Honda City i-VTEC CVT ZX,1140000,23038,Petrol,Trustmark Dealer,Automatic,First Owner,7
Chevrolet Beat Diesel LS,95000,70000,Diesel,Individual,Manual,First Owner,14
BMW 3 Series GT Luxury Line,3050000,30000,Diesel,Individual,Automatic,First Owner,8
Maruti Baleno Delta 1.2,585000,43608,Petrol,Trustmark Dealer,Manual,First Owner,8
Maruti Baleno Alpha CVT,825000,11212,Petrol,Trustmark Dealer,Automatic,First Owner,7
Hyundai i20 1.4 Magna Executive,280000,52000,Diesel,Dealer,Manual,First Owner,12
Maruti Baleno Zeta,725000,49217,Petrol,Trustmark Dealer,Manual,First Owner,9
Mahindra Verito 1.5 D4 BSIV,300000,90000,Diesel,Individual,Manual,First Owner,10
Hyundai Xcent 1.2 Kappa S,375000,70000,Petrol,Individual,Manual,First Owner,10
Honda City VTEC,310000,90000,Petrol,Individual,Manual,Fourth & Above Owner,22
Maruti Swift Dzire VDi,375000,190000,Diesel,Individual,Manual,Third Owner,14
Ford Endeavour 3.2 Titanium AT 4X4,1950000,106000,Diesel,Individual,Automatic,First Owner,9
Tata Xenon XT EX 4X2,400000,80000,Diesel,Individual,Manual,Second Owner,13
Nissan Terrano XL Plus 85 PS,550000,80000,Diesel,Individual,Manual,Second Owner,11
Maruti Eeco 7 Seater Standard BSIV,270000,20000,Petrol,Individual,Manual,First Owner,7
Maruti Ertiga ZDI,555000,110000,Diesel,Individual,Manual,Second Owner,13
Ford Ecosport 1.5 DV5 MT Ambiente,500000,60000,Diesel,Individual,Manual,Second Owner,12
Skoda Laura Elegance 1.9 TDI  AT,400000,130000,Diesel,Individual,Automatic,Second Owner,15
Hyundai EON 1.0 Era Plus,280000,28838,Petrol,Individual,Manual,First Owner,8
Tata Indica GLS BS IV,80000,200000,Petrol,Individual,Manual,First Owner,17
Tata Indica DLS,55000,100000,Diesel,Individual,Manual,First Owner,19
Maruti Alto 800 LXI Airbag,250000,50000,Petrol,Individual,Manual,First Owner,11
Mahindra Bolero SLX 2WD,250000,190000,Diesel,Individual,Manual,Fourth & Above Owner,15
Mahindra Jeep MM 540,95000,100000,Diesel,Individual,Manual,Second Owner,18
Mahindra Scorpio 1.99 S10,725000,135000,Diesel,Individual,Manual,Second Owner,11
Mahindra Bolero Power Plus Plus AC BSIV PS,320000,50000,Diesel,Individual,Manual,Third Owner,10
Skoda Octavia Elegance 2.0 TDI AT,1200000,135000,Diesel,Individual,Automatic,Third Owner,11
Chevrolet Beat Diesel LS,160000,50000,Diesel,Individual,Manual,First Owner,13
Honda Jazz 1.5 VX i DTEC,790000,19571,Diesel,Dealer,Manual,First Owner,7
Honda City i-VTEC ZX,1200000,29600,Petrol,Dealer,Manual,First Owner,7
Maruti Swift LXI,175000,70000,Petrol,Individual,Manual,First Owner,14
Maruti Vitara Brezza ZDi Plus AMT Dual Tone,950000,15000,Diesel,Individual,Automatic,First Owner,7
Maruti Celerio LXI MT BSIV,340000,50000,Petrol,Individual,Manual,First Owner,6
Renault Captur 1.5 Diesel RXT,825000,13500,Diesel,Individual,Manual,First Owner,8
Audi A4 30 TFSI Technology,3100000,22000,Petrol,Individual,Automatic,First Owner,7
Honda Amaze VX Diesel BSIV,780000,25000,Diesel,Dealer,Manual,First Owner,7
Toyota Corolla Altis 1.8 VL AT,350000,80000,Petrol,Individual,Automatic,Third Owner,15
Honda Amaze VX Petrol BSIV,690000,39000,Petrol,Dealer,Manual,First Owner,7
Maruti Alto 800 VXI,245000,60000,Petrol,Individual,Manual,First Owner,9
Honda Amaze VX Diesel BSIV,790000,49000,Diesel,Dealer,Manual,First Owner,7
Honda Amaze VX i-VTEC,680000,48600,Petrol,Dealer,Manual,First Owner,7
Hyundai Grand i10 Asta Option,540000,20000,Petrol,Individual,Manual,Second Owner,8
Mahindra KUV 100 mFALCON G80 K2,425000,25000,Petrol,Individual,Manual,First Owner,9
Maruti Zen Estilo Sports,140000,120000,Petrol,Individual,Manual,First Owner,17
Maruti Ertiga ZDI Plus,1100000,30000,Diesel,Individual,Manual,First Owner,6
Renault Lodgy 85PS RxL,715000,35000,Diesel,Individual,Manual,First Owner,10
Audi Q3 2.0 TDI Quattro Premium Plus,1750000,127643,Diesel,Dealer,Automatic,First Owner,10
Tata Zest Revotron 1.2T XMS,400000,54000,Petrol,Dealer,Manual,Second Owner,7
Audi A6 2.0 TDI  Design Edition,1750000,102354,Diesel,Dealer,Automatic,First Owner,11
Audi Q5 2.0 TFSI Quattro Premium Plus,1850000,62237,Petrol,Dealer,Automatic,First Owner,11
Hyundai Santro Xing XL eRLX Euro III,114999,90000,Petrol,Dealer,Manual,Second Owner,20
Ford EcoSport 1.5 TDCi Titanium BSIV,950000,21394,Diesel,Dealer,Manual,First Owner,7
Datsun GO T Petrol,310000,32686,Petrol,Dealer,Manual,First Owner,10
Mahindra Jeep CJ 500 DI,575000,1001,Diesel,Dealer,Manual,First Owner,19
Renault Pulse RxZ,490000,22000,Diesel,Dealer,Manual,First Owner,8
Hyundai Grand i10 Magna,480000,53261,Petrol,Dealer,Manual,First Owner,8
Land Rover Discovery Sport SD4 HSE Luxury,3500000,53000,Diesel,Dealer,Automatic,First Owner,9
Renault KWID 1.0 RXT Optional,370000,10000,Petrol,Dealer,Manual,First Owner,7
Maruti Baleno Alpha 1.3,835000,14000,Diesel,Dealer,Manual,First Owner,8
Volkswagen Polo 2015-2019 1.2 MPI Highline,650000,44000,Petrol,Dealer,Manual,First Owner,8
Toyota Etios VD,670000,39895,Diesel,Dealer,Manual,First Owner,11
Chevrolet Cruze LTZ AT,950000,73000,Diesel,Dealer,Automatic,First Owner,8
Honda City i-VTEC SV,690000,17000,Petrol,Dealer,Manual,First Owner,11
Volkswagen Polo 2015-2019 1.2 MPI Highline,670000,18591,Petrol,Dealer,Manual,First Owner,8
Tata Nexon 1.5 Revotorq XZ,925000,26766,Diesel,Dealer,Manual,First Owner,8
Hyundai EON Magna Plus,250000,30000,Petrol,Individual,Manual,First Owner,10
Tata Sumo Gold EX,509999,42000,Diesel,Individual,Manual,First Owner,9
Honda City i DTEC VX,520000,110000,Diesel,Individual,Manual,First Owner,11
Tata Indica DLE,100000,100000,Diesel,Individual,Manual,First Owner,20
Tata Indica DLS,85000,300000,Diesel,Individual,Manual,Second Owner,19
Tata Indigo LX,130000,110000,Diesel,Individual,Manual,Third Owner,16
Ford EcoSport 1.5 TDCi Titanium BSIV,950000,27620,Diesel,Dealer,Manual,First Owner,7
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,450000,70000,Petrol,Individual,Manual,First Owner,10
Honda City S,320000,50000,Petrol,Individual,Manual,Second Owner,13
Maruti Swift Dzire VDI,480000,50000,Diesel,Individual,Manual,First Owner,10
Mercedes-Benz New C-Class C 220 CDI Grand Edition,2490000,46000,Diesel,Individual,Automatic,First Owner,11
Toyota Innova 2.5 VX 8 STR,790000,82000,Diesel,Individual,Manual,First Owner,13
Maruti Omni MPI STD BSIV,120000,120000,Petrol,Individual,Manual,First Owner,9
Maruti Alto LXi,75000,80000,Petrol,Individual,Manual,Third Owner,19
Tata Indica GLS BS IV,99000,70000,Petrol,Individual,Manual,First Owner,15
Maruti S-Cross Zeta DDiS 200 SH,1015000,20000,Diesel,Individual,Manual,First Owner,7
Mahindra Xylo D4 BSIV,250000,200000,Diesel,Individual,Manual,Second Owner,12
Toyota Innova Crysta 2.5 VX BS IV,520000,120000,Diesel,Individual,Manual,First Owner,14
Hyundai Verna CRDi 1.6 AT SX Option,1100000,30000,Diesel,Individual,Automatic,First Owner,7
Toyota Innova 2.5 V Diesel 7-seater,200000,223000,Diesel,Individual,Manual,First Owner,20
Maruti Swift Dzire VDI,525000,60000,Diesel,Individual,Manual,First Owner,9
Hyundai i20 Asta 1.2,500000,40000,Petrol,Individual,Manual,First Owner,9
Mahindra Scorpio S2 7 Seater,675000,161327,Diesel,Individual,Manual,First Owner,9
Hyundai i10 Magna 1.2 iTech SE,150000,60000,Petrol,Individual,Manual,Third Owner,16
Mahindra Bolero DI,250000,50000,Diesel,Individual,Manual,First Owner,18
Hyundai Grand i10 1.2 Kappa Sportz BSIV,450000,6000,Petrol,Individual,Manual,First Owner,7
Hyundai Santro Xing XS,150000,68000,Petrol,Individual,Manual,Second Owner,16
Chevrolet Beat Diesel LS,200000,85000,Diesel,Individual,Manual,First Owner,13
Mahindra Scorpio VLS AT 2.2 mHAWK,525000,70000,Diesel,Individual,Automatic,First Owner,14
Maruti Esteem VX,60000,35000,Petrol,Individual,Manual,Second Owner,26
Maruti Swift Vdi BSIII,180000,100000,Diesel,Individual,Manual,Second Owner,15
Honda Amaze S i-Dtech,475000,110000,Diesel,Individual,Manual,First Owner,10
Mahindra Scorpio VLS AT 2.2 mHAWK,380000,195000,Diesel,Individual,Automatic,Second Owner,15
Maruti Alto 800 LXI,285000,46000,Petrol,Individual,Manual,Second Owner,10
Maruti Alto LXi BSIII,91200,60000,Petrol,Individual,Manual,Second Owner,17
Hyundai Grand i10 CRDi Sportz,400000,42000,Diesel,Individual,Manual,First Owner,10
Hyundai Santro Xing XG AT,160000,90000,Petrol,Individual,Automatic,Second Owner,19
Skoda Yeti Ambition 4X2,650000,85000,Diesel,Individual,Manual,Second Owner,13
Hyundai Verna 1.6 SX,409999,120000,Diesel,Individual,Manual,Third Owner,13
Ford Ecosport 1.5 DV5 MT Titanium,425000,72000,Diesel,Individual,Manual,First Owner,12
Maruti Wagon R LXI CNG,250000,71000,CNG,Individual,Manual,Second Owner,12
Maruti Swift Dzire VXi,200000,110000,Petrol,Individual,Manual,Fourth & Above Owner,16
Volkswagen Polo Diesel Trendline 1.2L,130000,144000,Diesel,Individual,Manual,Fourth & Above Owner,15
Maruti Eeco 5 Seater AC BSIV,260000,30000,Petrol,Dealer,Manual,First Owner,8
Hyundai Verna SX,155000,65000,Petrol,Dealer,Manual,First Owner,18
Honda Jazz 1.5 VX i DTEC,450000,38000,Diesel,Individual,Manual,First Owner,10
Maruti SX4 Celebration Petrol,220000,90000,Petrol,Individual,Manual,Second Owner,13
Hyundai i20 Active S Diesel,650000,37000,Diesel,Dealer,Manual,First Owner,7
Maruti Alto 800 LXI,285000,30000,Petrol,Dealer,Manual,First Owner,7
Honda Amaze V CVT Petrol BSIV,725000,26000,Petrol,Dealer,Automatic,First Owner,7
Maruti Ciaz ZXi,625000,30000,Petrol,Dealer,Manual,First Owner,9
Hyundai i20 Active SX Petrol,550000,23000,Petrol,Dealer,Manual,First Owner,9
Hyundai i10 Magna,240000,40000,Petrol,Dealer,Manual,First Owner,13
Nissan Terrano XL 85 PS,600000,27000,Diesel,Dealer,Manual,First Owner,11
Tata New Safari DICOR 2.2 EX 4x2,350000,65000,Diesel,Dealer,Manual,First Owner,13
Hyundai EON Magna Plus,245000,32000,Petrol,Dealer,Manual,First Owner,10
Mahindra Bolero B6,600000,56000,Diesel,Dealer,Manual,First Owner,9
BMW X1 sDrive 20d xLine,2400000,30000,Diesel,Individual,Automatic,First Owner,8
Mahindra Scorpio SLE BS IV,620000,80000,Diesel,Dealer,Manual,First Owner,11
Maruti Swift Dzire 1.2 Vxi BSIV,395000,52000,Petrol,Dealer,Manual,Second Owner,11
Maruti Ertiga ZXI,635000,13250,Petrol,Dealer,Manual,First Owner,11
Maruti Alto LX,180000,36000,Petrol,Dealer,Manual,First Owner,14
Maruti Swift ZDI Plus,484999,73000,Diesel,Dealer,Manual,Second Owner,10
Maruti Alto LX,110000,60000,Petrol,Individual,Manual,First Owner,21
Maruti Wagon R VXI BSIII,150000,60000,Petrol,Individual,Manual,Second Owner,19
Chevrolet Tavera Neo 2 LT L 9 Str,400000,110000,Diesel,Individual,Manual,First Owner,13
Tata Indica Vista Aura Plus 1.3 Quadrajet,200000,70000,Diesel,Individual,Manual,Second Owner,13
Renault Duster 85PS Diesel RxL Plus,302000,60000,Diesel,Individual,Manual,Second Owner,12
Maruti Swift Dzire Vdi BSIV,215000,90000,Diesel,Individual,Manual,Fourth & Above Owner,14
Maruti Wagon R VXI BSIII,155000,80000,Petrol,Individual,Manual,Second Owner,21
Toyota Innova 2.5 G (Diesel) 8 Seater,1000000,101000,Diesel,Individual,Manual,Second Owner,11
Mahindra Bolero Power Plus SLX,550000,44000,Diesel,Individual,Manual,First Owner,7
Maruti Swift 1.3 VXi,200000,45000,Petrol,Individual,Manual,First Owner,19
Mahindra Scorpio S2 7 Seater,750000,120000,Diesel,Individual,Manual,First Owner,8
Maruti Zen LXI,90000,90000,Petrol,Individual,Manual,Second Owner,20
Maruti Wagon R LXI Minor,80000,120000,Petrol,Individual,Manual,Second Owner,18
Hyundai EON D Lite Plus,229999,13500,Petrol,Individual,Manual,First Owner,12
Renault KWID 1.0 RXT Optional,350000,10000,Petrol,Individual,Manual,First Owner,8
Hyundai Grand i10 Magna,325000,25000,Petrol,Individual,Manual,Third Owner,10
Tata Tigor 1.2 Revotron XT,450000,8500,Petrol,Individual,Manual,First Owner,7
Maruti SX4 Celebration Diesel,250000,120000,Diesel,Individual,Manual,First Owner,13
Volkswagen Polo Diesel Comfortline 1.2L,225000,120000,Diesel,Individual,Manual,First Owner,13
Maruti Alto LXi,150000,90246,Petrol,Individual,Manual,Third Owner,16
Maruti Alto LX BSIII,110000,90000,Petrol,Individual,Manual,Second Owner,17
Maruti Alto LXi BSIII,150000,40000,Petrol,Individual,Manual,Second Owner,15
Maruti Gypsy King Hard Top,165000,60000,Petrol,Individual,Manual,Fourth & Above Owner,25
Renault Duster 85PS Diesel RxL,610000,32000,Diesel,Individual,Manual,Second Owner,8
Tata Manza Club Class Quadrajet90 VX,170000,60400,Diesel,Individual,Manual,First Owner,12
